"Timestamp","TZ","M01 (lux)","M02 (lux)","Voltage_1 (mV)","Voltage_2 (mV)","Voltage_3 (mV)","Voltage_ 4 (mV)","Voltage_ 5 (mV)","Voltage_ 6 (mV)","Voltage_ 7 (mV)","Voltage_ 8 (mV)","Voltage_ 9 (mV)","Voltage_ 10 (mV)","Voltage_ 11 (mV)","Voltage_ 12 (mV)","Occ 1","Occ 2","Occ 3","Occ 4","Occ 5","Occ 6"
2018/05/30 15:25:30.000,n,-0.5,0,158.24172,9.81244,65.15702,21.436818,397.7426,18.532836,191.40574,9.426006,13.890278,29.959954,221.25018,44.273552,0,0,0,0,0,0
2018/05/30 15:25:31.000,n,-0.5,0,158.81602,10.20424,65.350236,21.436818,397.7426,18.73142,191.59896,10.20424,14.083494,30.147806,221.63662,43.881752,0,0,0,0,0,0
2018/05/30 15:25:32.005,n,-0.5,0,158.24172,9.426006,65.15702,21.248966,398.1344,18.924636,190.8207,9.619224,13.691694,29.959954,221.44338,43.881752,0,0,0,0,0,0
2018/05/30 15:25:33.000,n,-0.5,0,158.81602,10.011024,65.350236,21.248966,398.1344,18.924636,191.20714,10.011024,14.083494,29.374928,221.63662,44.273552,0,0,0,0,0,0
2018/05/30 15:25:34.000,n,-0.5,0,159.00924,9.619224,65.15702,21.248966,397.94116,19.112486,191.40574,10.011024,13.890278,29.959954,222.2109,44.466768,0,0,0,0,0,0
2018/05/30 15:25:35.004,n,-0.5,0,159.20782,10.392088,65.350236,21.828624,398.70868,19.112486,191.7868,10.585306,14.85636,30.341024,223.17698,44.847832,0,0,0,0,0,0
2018/05/30 15:25:36.000,n,-0.5,0,158.81602,10.20424,65.742036,21.055746,398.3276,18.924636,191.59896,10.20424,14.276712,29.959954,222.78518,44.466768,0,0,0,0,0,0
2018/05/30 15:25:37.000,n,-0.5,0,158.81602,9.619224,65.15702,21.055746,398.3276,18.924636,191.59896,9.619224,14.083494,29.959954,222.78518,44.466768,0,0,0,0,0,0
2018/05/30 15:25:38.004,n,-0.5,0,159.20782,10.392088,65.54882,21.436818,398.3276,18.532836,191.7868,10.20424,14.083494,30.147806,223.75126,44.659984,0,0,0,0,0,0
2018/05/30 15:25:39.000,n,-0.5,0,159.00924,9.426006,65.350236,21.055746,398.3276,18.73142,191.40574,9.81244,14.276712,30.147806,223.94448,44.847832,0,0,0,0,0,0
2018/05/30 15:25:40.000,n,-0.5,0,159.40104,10.011024,65.54882,21.630038,399.28296,19.112486,191.98002,10.011024,13.890278,30.534244,224.71198,44.659984,0,0,0,0,0,0
2018/05/30 15:25:41.003,n,-0.5,0,159.5889,9.81244,65.350236,21.248966,399.28296,18.73142,192.17324,10.011024,14.469928,30.534244,224.89982,45.239632,0,0,0,0,0,0
2018/05/30 15:25:42.066,n,-0.5,0,159.7821,10.20424,65.742036,21.828624,399.47616,19.305702,192.36648,10.20424,14.66851,30.534244,225.48484,44.847832,0,0,0,0,0,0
2018/05/30 15:25:43.000,n,-0.5,0,159.40104,10.011024,65.54882,21.248966,399.28296,19.112486,192.17324,10.585306,14.276712,30.926052,224.71198,44.847832,0,0,0,0,0,0
2018/05/30 15:25:44.003,n,-0.5,0,159.20782,10.011024,65.54882,21.248966,398.51548,18.924636,191.98002,10.392088,14.083494,30.147806,223.94448,44.659984,0,0,0,0,0,0
2018/05/30 15:25:45.000,n,-0.5,0,158.81602,9.81244,65.742036,21.248966,398.51548,18.924636,191.7868,9.81244,14.276712,30.341024,223.17698,44.273552,0,0,0,0,0,0
